Publication Titles	Record Count	% of 1,493
PROCEEDINGS OF THE SOCIETY OF PHOTO OPTICAL INSTRUMENTATION ENGINEERS SPIE	9	0.603
SATELLITE ALTIMETRY FOR GEODESY GEOPHYSICS AND OCEANOGRAPHY PROCEEDINGS	9	0.603
WATER RESOURCES RESEARCH	9	0.603
2014 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	8	0.536
IEEE ACCESS	8	0.536
JOURNAL OF COASTAL RESEARCH	8	0.536
JOURNAL OF GEODYNAMICS	8	0.536
ADVANCES IN ATMOSPHERIC SCIENCES	7	0.469
INTERNATIONAL ARCHIVES OF THE PHOTOGRAMMETRY REMOTE SENSING AND SPATIAL INFORMATION SCIENCES	7	0.469
PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING	7	0.469
SCIENCE IN CHINA SERIES D EARTH SCIENCES	7	0.469
2017 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	6	0.402
DEEP SEA RESEARCH PART I OCEANOGRAPHIC RESEARCH PAPERS	6	0.402
FRONTIERS IN MARINE SCIENCE	6	0.402
GEODESY AND GEODYNAMICS	6	0.402
IGARSS 2020 2020 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM	6	0.402
JOURNAL OF OCEAN UNIVERSITY OF CHINA	6	0.402
OCEAN MODELLING	6	0.402
OPTICS EXPRESS	6	0.402
2013 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	5	0.335
2015 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	5	0.335
ARABIAN JOURNAL OF GEOSCIENCES	5	0.335
CRYOSPHERE	5	0.335
EARTH AND SPACE SCIENCE	5	0.335
HYDROLOGICAL PROCESSES	5	0.335
JOURNAL OF CLIMATE	5	0.335
JOURNAL OF GEOPHYSICAL RESEARCH SOLID EARTH	5	0.335
JOURNAL OF MARINE SYSTEMS	5	0.335
OCEAN SCIENCE	5	0.335
PHOTOGRAMMETRIC RECORD	5	0.335
SCIENCE BULLETIN	5	0.335
2011 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	4	0.268
29TH INTERNATIONAL LASER RADAR CONFERENCE ILRC 29	4	0.268
ANNALS OF GLACIOLOGY	4	0.268
APPLIED OPTICS	4	0.268
AQUATIC ECOSYSTEM HEALTH MANAGEMENT	4	0.268
EARTH SYSTEM SCIENCE DATA	4	0.268
EPJ WEB OF CONFERENCES	4	0.268
INTERNATIONAL JOURNAL OF DIGITAL EARTH	4	0.268
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING	4	0.268
LECTURE NOTES IN ELECTRICAL ENGINEERING	4	0.268
MICROWAVE REMOTE SENSING OF THE ATMOSPHERE AND ENVIRONMENT III	4	0.268
SCIENCE OF THE TOTAL ENVIRONMENT	4	0.268
TECTONOPHYSICS	4	0.268
2010 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM	3	0.201
35TH INTERNATIONAL SYMPOSIUM ON REMOTE SENSING OF ENVIRONMENT ISRSE35	3	0.201
6TH DIGITAL EARTH SUMMIT	3	0.201
ACTA PHYSICA SINICA	3	0.201
DEEP SEA RESEARCH PART II TOPICAL STUDIES IN OCEANOGRAPHY	3	0.201
EARTH AND PLANETARY SCIENCE LETTERS	3	0.201
ENVIRONMENTAL EARTH SCIENCES	3	0.201
ESTUARINE COASTAL AND SHELF SCIENCE	3	0.201
FRONTIERS OF EARTH SCIENCE	3	0.201
HYDROLOGY AND EARTH SYSTEM SCIENCES	3	0.201
IGARSS 2002 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM AND 24TH CANADIAN SYMPOSIUM ON REMOTE SENSING VOLS I VI PROCEEDINGS	3	0.201
JOURNAL OF APPLIED GEOPHYSICS	3	0.201
JOURNAL OF GEODETIC SCIENCE	3	0.201
JOURNAL OF GEOPHYSICAL RESEARCH SPACE PHYSICS	3	0.201
JOURNAL OF INFRARED AND MILLIMETER WAVES	3	0.201
JOURNAL OF SURVEYING ENGINEERING	3	0.201
LASER OPTOELECTRONICS PROGRESS	3	0.201
NATURE COMMUNICATIONS	3	0.201
OCEAN ENGINEERING	3	0.201
PROGRESS IN NATURAL SCIENCE MATERIALS INTERNATIONAL	3	0.201
SCIENCE IN CHINA SERIES G PHYSICS MECHANICS ASTRONOMY	3	0.201
2010 18TH INTERNATIONAL CONFERENCE ON GEOINFORMATICS	2	0.134
2017 IEEE INTERNATIONAL CONFERENCE ON IMAGING SYSTEMS AND TECHNIQUES IST	2	0.134
ACSR ADVANCES IN COMPTUER SCIENCE RESEARCH	2	0.134
ACTA ASTRONAUTICA	2	0.134
ADVANCED REMOTE SENSING TERRESTRIAL INFORMATION EXTRACTION AND APPLICATIONS	2	0.134
ADVANCED REMOTE SENSING TERRESTRIAL INFORMATION EXTRACTION AND APPLICATIONS 2ND EDITION	2	0.134
ADVANCES IN INTELLIGENT SYSTEMS RESEARCH	2	0.134
APPLIED GEOPHYSICS	2	0.134
APPLIED MECHANICS AND MATERIALS	2	0.134
APPLIED SCIENCES BASEL	2	0.134
ATMOSPHERE	2	0.134
ATMOSPHERIC AND OCEANIC SCIENCE LETTERS	2	0.134
CHINA OCEAN ENGINEERING	2	0.134
CHINESE JOURNAL OF LASERS ZHONGGUO JIGUANG	2	0.134
