Authors	Record Count	% of 1,493
Shi YL	5	0.335
Stammer D	5	0.335
Sun C	5	0.335
Sun QT	5	0.335
Sun Y	5	0.335
Tan W	5	0.335
Tian FL	5	0.335
Tournadre J	5	0.335
Wan W	5	0.335
Wang GZ	5	0.335
Wang JC	5	0.335
Wang M	5	0.335
Wu B	5	0.335
Wu DX	5	0.335
Wu HB	5	0.335
Wu KJ	5	0.335
Xie Q	5	0.335
Xu GC	5	0.335
Xu GJ	5	0.335
Xu LJ	5	0.335
Xu M	5	0.335
Xuan Y	5	0.335
Yang H	5	0.335
Yao JQ	5	0.335
Yin YQ	5	0.335
Yuan C	5	0.335
Yuan DL	5	0.335
Zhang DH	5	0.335
Zhang H	5	0.335
Zhang Q	5	0.335
Zhang XW	5	0.335
Zhang ZW	5	0.335
Zhao RX	5	0.335
Zhao X	5	0.335
Zhao Y	5	0.335
Zhong M	5	0.335
Zhou DX	5	0.335
Zhu XX	5	0.335
Zou F	5	0.335
Babanin AV	4	0.268
Bai YN	4	0.268
Bi F	4	0.268
Cai XB	4	0.268
Cai Y	4	0.268
Calmant S	4	0.268
Cao L	4	0.268
Chai F	4	0.268
Chao DB	4	0.268
Chen CF	4	0.268
Chen W	4	0.268
Cheng C	4	0.268
Cheng Y	4	0.268
Cheng YS	4	0.268
Church JA	4	0.268
Deng XL	4	0.268
Ditmar P	4	0.268
Dong X	4	0.268
Ezraty R	4	0.268
Fang GH	4	0.268
Fang WD	4	0.268
Feng M	4	0.268
Feng W	4	0.268
Forsberg R	4	0.268
Gu QM	4	0.268
Guo X	4	0.268
Guo ZF	4	0.268
Han Y	4	0.268
He MX	4	0.268
He YQ	4	0.268
Huang BQ	4	0.268
Huang JP	4	0.268
Huo XL	4	0.268
Jin S	4	0.268
Klees R	4	0.268
Li CY	4	0.268
Li MM	4	0.268
Li XF	4	0.268
Li XL	4	0.268
Lin H	4	0.268
Liu GM	4	0.268
Liu HX	4	0.268
Liu YH	4	0.268
Liu Z	4	0.268
Luo W	4	0.268
Ma ZT	4	0.268
Mao QW	4	0.268
Martin-neira M	4	0.268
Meyssignac B	4	0.268
Moore JC	4	0.268
Mu B	4	0.268
Ndehedehe CE	4	0.268
Ni XL	4	0.268
Nielsen K	4	0.268
Pan FF	4	0.268
Pan JY	4	0.268
Pang Y	4	0.268
Park JH	4	0.268
Ran JJ	4	0.268
Rius A	4	0.268
Sandwell DT	4	0.268
Shen GZ	4	0.268
Sheng YW	4	0.268
Shi LW	4	0.268
Sun JL	4	0.268
Sun JY	4	0.268
