Affiliations	Record Count	% of 749
NANSEN ENVIRONM REMOTE SENSING CTR	12	1.602
PSL RESEARCH UNIVERSITY PARIS	12	1.602
UNIVERSITY OF POTSDAM	12	1.602
WOODS HOLE OCEANOGRAPHIC INSTITUTION	12	1.602
CSIC INSTITUTO MEDITERRANEO DE ESTUDIOS AVANZADOS IMEDEA	11	1.469
FINNISH METEOROLOGICAL INSTITUTE	11	1.469
FREE UNIVERSITY OF BERLIN	11	1.469
KARLSRUHE INSTITUTE OF TECHNOLOGY	11	1.469
MASSACHUSETTS INSTITUTE OF TECHNOLOGY MIT	11	1.469
NERC BRITISH ANTARCTIC SURVEY	11	1.469
OBSERVATOIRE DE PARIS	11	1.469
UNIVERSIDADE DO PORTO	11	1.469
UNIVERSITY OF TEXAS AUSTIN	11	1.469
UNIVERSITY OF WASHINGTON	11	1.469
UNIVERSITY OF WASHINGTON SEATTLE	11	1.469
COMMUNAUTE UNIVERSITE GRENOBLE ALPES	10	1.335
DGFI	10	1.335
MET OFFICE UK	10	1.335
RUSSIAN ACADEMY OF SCIENCES	10	1.335
UNIVERSITAT DE LES ILLES BALEARS	10	1.335
UNIVERSITAT SIEGEN	10	1.335
UNIVERSITE GRENOBLE ALPES UGA	10	1.335
UNIVERSITY OF BERN	10	1.335
UNIVERSITY OF HAWAII SYSTEM	10	1.335
UNIVERSITY OF OSLO	10	1.335
UNIVERSITY OF TASMANIA	10	1.335
ASTRONOMICAL INSTITUTE OF THE CZECH ACADEMY OF SCIENCES	9	1.202
CTR NATL ETUD SPATIALES	9	1.202
CZECH ACADEMY OF SCIENCES	9	1.202
DEUTSCH GEODAT FORSCHUNGSINST DGFI	9	1.202
NORWEGIAN POLAR INSTITUTE	9	1.202
UNITED STATES DEPARTMENT OF DEFENSE	9	1.202
UNIVERSITY OF ALBERTA	9	1.202
UNIVERSITY OF BERGEN	9	1.202
UNIVERSITY OF HANNOVER	9	1.202
UNIVERSITY OF NEW SOUTH WALES SYDNEY	9	1.202
UNIVERSITY OF SOUTHAMPTON	9	1.202
COLUMBIA UNIVERSITY	8	1.068
CSIC INSTITUTO DE CIENCIAS DEL ESPACIO ICE	8	1.068
INST MEERESKUNDE	8	1.068
PLYMOUTH MARINE LABORATORY	8	1.068
STATE UNIVERSITY SYSTEM OF FLORIDA	8	1.068
STINGER GHAFFARIAN TECHNOLOGIES INC SGT	8	1.068
UNIVERSITY OF INNSBRUCK	8	1.068
UNIVERSITY OF TEHRAN	8	1.068
DANISH METEOROLOGICAL INSTITUTE DMI	7	0.935
FISHERIES OCEANS CANADA	7	0.935
GRAZ UNIVERSITY OF TECHNOLOGY	7	0.935
HADLEY CENTRE	7	0.935
HOHAI UNIVERSITY	7	0.935
ISSI	7	0.935
ISTITUTO DI SCIENZE MARINE ISMAR CNR	7	0.935
MERCATOR OCEAN	7	0.935
