Affiliations	Record Count	% of 3,072
PLANNING SYST INC	10	0.326
QINGDAO NATL LAB MARINE SCI TECHNOL	10	0.326
RESEARCH INSTITUTE OF GEODESY TOPOGRAPHY CARTOGRAPHY	10	0.326
SIGMA SPACE CORP	10	0.326
UNIVERSITY OF MANITOBA	10	0.326
UNIVERSITY OF MINNESOTA TWIN CITIES	10	0.326
UNIVERSITY OF TEXAS DALLAS	10	0.326
ACADEMIA SINICA TAIWAN	9	0.293
AIX MARSEILLE UNIVERSITE	9	0.293
BUREAU OF METEOROLOGY AUSTRALIA	9	0.293
EUROPEAN ORGANISATION FOR THE EXPLOITATION OF METEOROLOGICAL SATELLITES	9	0.293
MAX PLANCK SOCIETY	9	0.293
NATIONAL TAIWAN OCEAN UNIVERSITY	9	0.293
OHIO UNIVERSITY	9	0.293
UNIVERSITY OF BONN	9	0.293
UNIVERSITY OF OSLO	9	0.293
UTAH SYSTEM OF HIGHER EDUCATION	9	0.293
COLLECTE LOCALISAT SATELLITES	8	0.260
CSIC CENTRO MEDITERRANEO DE INVESTIGACIONES MARINAS Y AMBIENTALES CMIMA	8	0.260
CSIC INSTITUTO DE CIENCIAS DEL MAR ICM	8	0.260
DARTMOUTH COLLEGE	8	0.260
INDIAN INSTITUTE OF TECHNOLOGY SYSTEM IIT SYSTEM	8	0.260
INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS INPE	8	0.260
KOREA POLAR RESEARCH INSTITUTE KOPRI	8	0.260
METEO FRANCE	8	0.260
NEW YORK UNIVERSITY	8	0.260
PUSAN NATIONAL UNIVERSITY	8	0.260
REMOTE SENSING SOLUT INC	8	0.260
SPACE APPLICATIONS CENTRE SAC	8	0.260
SWANSEA UNIVERSITY	8	0.260
THALES GROUP	8	0.260
UIT THE ARCTIC UNIVERSITY OF TROMSO	8	0.260
UNIVERSIDAD DE CONCEPCION	8	0.260
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	8	0.260
UNIVERSITY OF ALABAMA SYSTEM	8	0.260
UNIVERSITY OF BOLOGNA	8	0.260
UNIVERSITY OF CALIFORNIA BERKELEY	8	0.260
UNIVERSITY OF OTTAWA	8	0.260
UNIVERSITY OF VICTORIA	8	0.260
BRIGHAM YOUNG UNIVERSITY	7	0.228
COLD REGIONS RESEARCH ENGINEERING LABORATORY CRREL	7	0.228
COLORADO SCHOOL OF MINES	7	0.228
FINNISH METEOROLOGICAL INSTITUTE	7	0.228
GEOLOGICAL SURVEY OF CANADA	7	0.228
GEOMAR HELMHOLTZ CENTER FOR OCEAN RESEARCH KIEL	7	0.228
GUANGDONG OCEAN UNIVERSITY	7	0.228
INSTITUT NATIONAL POLYTECHNIQUE DE GRENOBLE	7	0.228
INSTITUTE OF ATMOSPHERIC PHYSICS CAS	7	0.228
INSTITUTE OF TIBETAN PLATEAU RESEARCH CAS	7	0.228
ISTITUTO DI SCIENZE MARINE ISMAR CNR	7	0.228
MISSISSIPPI STATE UNIVERSITY	7	0.228
NANJING UNIVERSITY	7	0.228
NATIONAL ACADEMY OF SCIENCES UKRAINE	7	0.228
NORWEGIAN POLAR INSTITUTE	7	0.228
RAYTHEON ITSS	7	0.228
SAPIENZA UNIVERSITY ROME	7	0.228
SURVEYOR GENERAL BRANCH GEOMATICS CANADA	7	0.228
UNIVERSIDADE DE LISBOA	7	0.228
UNIVERSITE COTE D AZUR	7	0.228
UNIVERSITY OF ALBERTA	7	0.228
UNIVERSITY OF BARCELONA	7	0.228
UNIVERSITY OF BREMEN	7	0.228
UNIVERSITY OF BUENOS AIRES	7	0.228
UNIVERSITY OF CINCINNATI	7	0.228
UNIVERSITY OF EDINBURGH	7	0.228
UNIVERSITY OF GEORGIA	7	0.228
UNIVERSITY OF MISSOURI KANSAS CITY	7	0.228
UNIVERSITY OF NEWCASTLE	7	0.228
UNIVERSITY OF READING	7	0.228
UNIVERSITY OF SOUTH CAROLINA	7	0.228
UPPSALA UNIVERSITY	7	0.228
WOODS HOLE RESEARCH CENTER	7	0.228
ADNET SYST INC	6	0.195
CSIC INSTITUTO DE CIENCIAS DEL ESPACIO ICE	6	0.195
CZECH TECHNICAL UNIVERSITY PRAGUE	6	0.195
DUKE UNIVERSITY	6	0.195
EC JRC ISPRA SITE	6	0.195
EUROPEAN COMMISSION JOINT RESEARCH CENTRE	6	0.195
GEOLOGICAL SURVEY OF DENMARK GREENLAND	6	0.195
KYUSHU UNIVERSITY	6	0.195
MINISTRY OF EARTH SCIENCES MOES INDIA	6	0.195
MORGAN STATE UNIVERSITY	6	0.195
MOSS LANDING MARINE LABORATORIES	6	0.195
NATIONAL ASTRONOMICAL OBSERVATORY OF JAPAN NAOJ	6	0.195
NATIONAL INSTITUTES OF NATURAL SCIENCES NINS JAPAN	6	0.195
NATIONAL REMOTE SENSING CENTRE NRSC	6	0.195
OBSERVATOIRE DE LA COTE D AZUR	6	0.195
PURDUE UNIVERSITY	6	0.195
PURDUE UNIVERSITY SYSTEM	6	0.195
PURDUE UNIVERSITY WEST LAFAYETTE CAMPUS	6	0.195
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE	6	0.195
SAINT PETERSBURG STATE UNIVERSITY	6	0.195
TECHNICAL UNIVERSITY OF BERLIN	6	0.195
TECHNISCHE UNIVERSITAT DRESDEN	6	0.195
TENNESSEE TECHNOLOGICAL UNIVERSITY	6	0.195
UNIV SOUTHERN MISSISSIPPI	6	0.195
UNIVERSIDAD DE LAS PALMAS DE GRAN CANARIA	6	0.195
UNIVERSIDADE DE SAO PAULO	6	0.195
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	6	0.195
UNIVERSITAT TRIER	6	0.195
UNIVERSITE CONFEDERALE LEONARD DE VINCI	6	0.195
UNIVERSITE DE MONTPELLIER	6	0.195
UNIVERSITY MASSACHUSETTS DARTMOUTH	6	0.195
UNIVERSITY OF ALABAMA TUSCALOOSA	6	0.195
UNIVERSITY OF BERN	6	0.195
UNIVERSITY OF FLORIDA	6	0.195
UNIVERSITY OF KIEL	6	0.195
UNIVERSITY OF MELBOURNE	6	0.195
UNIVERSITY OF SANTIAGO DE COMPOSTELA	6	0.195
UNIVERSITY OF UTAH	6	0.195
ZHEJIANG UNIVERSITY	6	0.195
ABERYSTWYTH UNIVERSITY	5	0.163
ANTARCTIC CLIMATE ECOSYST COOPERAT RES CTR	5	0.163
APPALACHIAN STATE UNIVERSITY	5	0.163
ARIZONA STATE UNIVERSITY	5	0.163
BANGOR UNIVERSITY	5	0.163
BOSTON COLLEGE	5	0.163
CERFACS	5	0.163
CICESE CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA	5	0.163
CLS SPACE OCEANOG DIV	5	0.163
CNRS INSTITUTE FOR ENGINEERING SYSTEMS SCIENCES INSIS	5	0.163
CNRS INSTITUTE OF ECOLOGY ENVIRONMENT INEE	5	0.163
CTR ESTUDIOS CIENT	5	0.163
DANISH METEOROLOGICAL INSTITUTE DMI	5	0.163
ECOLE DES PONTS PARISTECH	5	0.163
FLORIDA INTERNATIONAL UNIVERSITY	5	0.163
GEORGE MASON UNIVERSITY	5	0.163
GEOSCIENCE AUSTRALIA	5	0.163
HADLEY CENTRE	5	0.163
HAMPTON UNIVERSITY	5	0.163
HONG KONG POLYTECHNIC UNIVERSITY	5	0.163
HUGHES STX	5	0.163
INDIAN NATIONAL CENTRE FOR OCEAN INFORMATION SERVICES INCOIS	5	0.163
INST MEERESKUNDE	5	0.163
INSTITUTE OF GEOGRAPHIC SCIENCES NATURAL RESOURCES RESEARCH CAS	5	0.163
ISTITUTO NAZIONALE GEOFISICA E VULCANOLOGIA INGV	5	0.163
JAPAN METEOROLOGICAL AGENCY	5	0.163
METEOROLOGICAL RESEARCH INSTITUTE JAPAN	5	0.163
MINIST NAT RESOURCES	5	0.163
NANJING INSTITUTE OF GEOGRAPHY LIMNOLOGY CAS	5	0.163
NASA AMES RESEARCH CENTER	5	0.163
NATIONAL CHUNG CHENG UNIVERSITY	5	0.163
NATL GEOSPATIAL INTELLIGENCE AGCY	5	0.163
NEVADA SYSTEM OF HIGHER EDUCATION NSHE	5	0.163
PACIFIC NORTHWEST NATIONAL LABORATORY	5	0.163
REMOTE SENSING SOLUT	5	0.163
SHANGHAI JIAO TONG UNIVERSITY	5	0.163
SOUTHERN MARINE SCI ENGN GUANGDONG LAB ZHUHAI	5	0.163
ST SYST CORP	5	0.163
STATE UNIVERSITY OF NEW YORK SUNY ALBANY	5	0.163
STOCKHOLM UNIVERSITY	5	0.163
UNITED STATES AIR FORCE	5	0.163
UNIVERSITY OF CALIFORNIA MERCED	5	0.163
UNIVERSITY OF CENTRAL FLORIDA	5	0.163
UNIVERSITY OF IOWA	5	0.163
UNIVERSITY OF LIEGE	5	0.163
UNIVERSITY OF MARYLAND CENTER FOR ENVIRONMENTAL SCIENCE	5	0.163
UNIVERSITY OF NORTH TEXAS DENTON	5	0.163
UNIVERSITY OF NORTH TEXAS SYSTEM	5	0.163
UNIVERSITY OF SYDNEY	5	0.163
UNIVERSITY OF TORONTO	5	0.163
UNIVERSITY OF ZURICH	5	0.163
ALTIMETRICS LLC	4	0.130
