Editors	Record Count	% of 8,505
Fletcher K	2	0.024
Foing BH	2	0.024
Frederking RMW	2	0.024
Gamba P	2	0.024
Gavrilova ML	2	0.024
Giovannoni SJ	2	0.024
Giustolisi O	2	0.024
Goossens R	2	0.024
Grant GE	2	0.024
Grenzdorffer G	2	0.024
Gudmandsen P	2	0.024
Guerriero L	2	0.024
Gupta RK	2	0.024
Haala N	2	0.024
Habib A	2	0.024
Hawkesworth CJ	2	0.024
He X	2	0.024
Hu S	2	0.024
Huadong G	2	0.024
Ince F	2	0.024
Ip WH	2	0.024
Iwasaki T	2	0.024
Karas J	2	0.024
Kravchishina M	2	0.024
Lakshmi V	2	0.024
Leroux P	2	0.024
Lewandowski J	2	0.024
Li G	2	0.024
Li J	2	0.024
Li Y	2	0.024
Li Z	2	0.024
Lollino G	2	0.024
Lurie JB	2	0.024
Lv D	2	0.024
Lv Y	2	0.024
Maggioni V	2	0.024
Marechal JC	2	0.024
Martinez AL	2	0.024
Massari C	2	0.024
Masson PL	2	0.024
Mclellan BC	2	0.024
Menard M	2	0.024
Menenti M	2	0.024
Misra S	2	0.024
Montillet JP	2	0.024
Ng CO	2	0.024
Norton CD	2	0.024
Pagano TS	2	0.024
Pappalardo G	2	0.024
Puschell JJ	2	0.024
Qi L	2	0.024
Rao KH	2	0.024
Razeghi M	2	0.024
Reinartz P	2	0.024
Rinaldi M	2	0.024
Rocha AMAC	2	0.024
Sang H	2	0.024
Schiller A	2	0.024
Schreier G	2	0.024
Shenoi SC	2	0.024
Siegert MJ	2	0.024
Sparks RSJ	2	0.024
Spencer DB	2	0.024
Stengle TH	2	0.024
Sunar F	2	0.024
Tang X	2	0.024
Tarno H	2	0.024
Teeuw RM	2	0.024
Torre CM	2	0.024
Torres IC	2	0.024
Toth CK	2	0.024
Tsuchiya K	2	0.024
Turner MD	2	0.024
Vaiskunaite R	2	0.024
Verron J	2	0.024
Visser P	2	0.024
Wang A	2	0.024
Wardenier J	2	0.024
Willis IC	2	0.024
Woodworth P	2	0.024
Xu J	2	0.024
Yang C	2	0.024
Yang Y	2	0.024
Ye X	2	0.024
Yuan Y	2	0.024
Zlatanova S	2	0.024
Zribi M	2	0.024
Abdullah M	1	0.012
Ai K	1	0.012
Akatsuka S	1	0.012
Aksoy H	1	0.012
Alauddin ZABZ	1	0.012
Allen SK	1	0.012
Alsdorf D	1	0.012
Ambrosia V	1	0.012
Amodeo A	1	0.012
Anastassi Z	1	0.012
Ancona F	1	0.012
Anderson M	1	0.012
Anonymous	1	0.012
Ao SI	1	0.012
Arnone R	1	0.012
Aten M	1	0.012
Aten ML	1	0.012
Atkinson RJA	1	0.012
Avery TS	1	0.012
Avetisyan A	1	0.012
Aziz N	1	0.012
Babanin A	1	0.012
Babu SR	1	0.012
Bajer K	1	0.012
Bao X	1	0.012
Bareth G	1	0.012
Barker D	1	0.012
Barnes M	1	0.012
Basturk S	1	0.012
Battrick B	1	0.012
Beal KL	1	0.012
Becker W	1	0.012
Benciolini B	1	0.012
Bendor E	1	0.012
Benediktsson JA	1	0.012
Berghmans F	1	0.012
Beven K	1	0.012
Bewley RH	1	0.012
Bex V	1	0.012
Biancamaria S	1	0.012
Bienfang JC	1	0.012
Bisio I	1	0.012
Bissonnette LR	1	0.012
Biwa T	1	0.012
Blaschke T	1	0.012
Blecic I	1	0.012
Bodnar T	1	0.012
Bohannan CT	1	0.012
Bokuniewicz HJ	1	0.012
Boland J	1	0.012
Bonhamcarter G	1	0.012
Borruso G	1	0.012
Boschung J	1	0.012
Bovolo F	1	0.012
Bridges TS	1	0.012
Brink KH	1	0.012
Briottet X	1	0.012
Brovelli MA	1	0.012
Brown GJ	1	0.012
Bruzzone L	1	0.012
Bulucea A	1	0.012
Burrows JP	1	0.012
Busse LE	1	0.012
Callaos N	1	0.012
Camacholara S	1	0.012
Cangahuala LA	1	0.012
Cannarsa P	1	0.012
Carreonfreyre D	1	0.012
Cecchi G	1	0.012
Cefola PJ	1	0.012
Cerca M	1	0.012
Cerney MR	1	0.012
Chakrabarti S	1	0.012
Chan F	1	0.012
Chan K	1	0.012
Chandra M	1	0.012
Chapel JD	1	0.012
Chen C	1	0.012
Chen T	1	0.012
Cheng Q	1	0.012
Cheng Y	1	0.012
Ching X	1	0.012
Choudhury BJ	1	0.012
Christophe S	1	0.012
Chu J	1	0.012
Civco D	1	0.012
Cluckie I	1	0.012
Cochran JK	1	0.012
Coltekin A	1	0.012
Comeron A	1	0.012
Conrad P	1	0.012
Cooper JE	1	0.012
Cosh M	1	0.012
