Publication Titles	Record Count	% of 805
PROCEEDINGS OF THE SOCIETY OF PHOTO OPTICAL INSTRUMENTATION ENGINEERS SPIE	2	0.248
SATELLITE DYNAMICS IN THE ERA OF INTERDISCIPLINARY SPACE GEODESY	2	0.248
TERRESTRIAL ATMOSPHERIC AND OCEANIC SCIENCES	2	0.248
WATER	2	0.248
WEATHER	2	0.248
2012 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	1	0.124
2017 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	1	0.124
ADVANCES IN CLIMATE CHANGE RESEARCH	1	0.124
AFRICAN JOURNAL OF MARINE SCIENCE	1	0.124
AIP CONFERENCE PROCEEDINGS	1	0.124
ANNALES GEOPHYSICAE	1	0.124
ANNALS OF GLACIOLOGY VOL 27 1998	1	0.124
ANNALS OF GLACIOLOGY VOL 31 2000	1	0.124
ANNALS OF GLACIOLOGY VOL 39 2004	1	0.124
ANNALS OF GLACIOLOGY VOL 48	1	0.124
ANNUAL REVIEW OF MARINE SCIENCE	1	0.124
ANNUAL REVIEW OF MARINE SCIENCE VOL 5	1	0.124
ANTARCTIC SCIENCE	1	0.124
APPLIED UNCERTAINTY ANALYSIS FOR FLOOD RISK MANAGEMENT	1	0.124
ARCHAEOLOGICAL PROSPECTION	1	0.124
ATMOSPHERIC CHEMISTRY AND PHYSICS	1	0.124
AUSTRALIAN JOURNAL OF EARTH SCIENCES	1	0.124
BULLETIN GEODESIQUE	1	0.124
CATENA	1	0.124
CHEMICAL GEOLOGY	1	0.124
CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY	1	0.124
CLIMATE OF THE MEDITERRANEAN REGION FROM THE PAST TO THE FUTURE	1	0.124
COASTAL ENGINEERING	1	0.124
COMPUTERS GEOSCIENCES	1	0.124
CORAL REEFS	1	0.124
CURRENT CLIMATE CHANGE REPORTS	1	0.124
DYNAMIC PLANET MONITORING AND UNDERSTANDING A DYNAMIC PLANET WITH GEODETIC AND OCEANOGRAPHIC TOOLS	1	0.124
EARTH PLANETS AND SPACE	1	0.124
EARTH SCIENCE INFORMATICS	1	0.124
ECOHYDROLOGY HYDROBIOLOGY	1	0.124
ELECTRONICS COMMUNICATION ENGINEERING JOURNAL	1	0.124
ELECTRONICS LETTERS	1	0.124
ELSEVIER INSIGHTS	1	0.124
