Funding Agencies	Record Count	% of 1,386
South African National Antarctic Programme Sanap	3	0.216
Technical University Of Crete	3	0.216
Tosca Board	3	0.216
Tosca Program Of The French Space Agency Cnes	3	0.216
Total Sa	3	0.216
Universitat De Les Illes Balears	3	0.216
Universite Pierre Et Marie Curie	3	0.216
Access	2	0.144
Agenzia Spaziale Italiana Asi	2	0.144
Australian Climate Change Science Program	2	0.144
Caltech Jpl Postdoctoral Fellowship	2	0.144
Canon Foundation	2	0.144
Cicese	2	0.144
Cnes Centre National D Etudes Spatiales France Through The Tosca Committee Fellowship	2	0.144
Cnes Grant Ostst Manatee	2	0.144
Cnes Ostst	2	0.144
Cnes Ostst Osiw Grant	2	0.144
Cnes Salp Project	2	0.144
Cnes Through The Ocean Surface Topography Science Team Ostst	2	0.144
Cnes Through The Tosca Program	2	0.144
Cnrs Insu Institut Des Sciences De L Univers Through The Lefe Idao Program	2	0.144
Consejo Nacional De Ciencia Y Tecnologia Conacyt	2	0.144
Conselleria D Educacio Cultura I Universitat Local Government Of The Balearic Islands	2	0.144
Cprm	2	0.144
Department For Environment Food Rural Affairs Defra	2	0.144
Department Of Environment Regional Planning Agriculture And Fisheries Of The Basque Government	2	0.144
Department Of Environment Regional Planning Agriculture And Fisheries Of The Basque Government Marco Program	2	0.144
Department Of Science Technology India	2	0.144
Dga	2	0.144
Eads Astrium	2	0.144
Engineering Physical Sciences Research Council Epsrc	2	0.144
Esa Globcurrent Project	2	0.144
Estonian Research Council	2	0.144
Eu H2020 Triatlas Project	2	0.144
Eumetsat	2	0.144
European Regional Development Fund Aei Feder Ue	2	0.144
European Space Agency Project Smos Sea Ice	2	0.144
French Cnes Tosca Sickays	2	0.144
French National Programme Ec2co Biohefect Regime D Alteration Erosion En Afrique Centrale Ralterac	2	0.144
French Space Agency Cnes Centre National D Etudes Spatiales	2	0.144
Genci	2	0.144
Helmholtz Association	2	0.144
Ign	2	0.144
Iniciativa Cientifica Milenio Icm Chile	2	0.144
Inidep	2	0.144
Institut Universitaire De France	2	0.144
Insu Institut National Des Sciences De L Univers	2	0.144
Intas	2	0.144
International Space Science Institute Bern Switzerland	2	0.144
Ipev	2	0.144
Iran National Science Foundation Insf	2	0.144
Ird France	2	0.144
Irstea	2	0.144
Isis Program Of The French Space Agency Cnes	2	0.144
Jae Csic	2	0.144
Jamstec	2	0.144
Joint Cnes Region Bretagne Doctoral Grant	2	0.144
Joint Uk Beis Defra Met Office Hadley Centre Climate Programme	2	0.144
Korea Meteorological Administration Research And Development Program	2	0.144
Labex Cominlabs	2	0.144
Labex Cominlabs Project Seacs	2	0.144
Laboratoire Mixte International Lmi Dynamique Des Ecosystemes Continentaux D Afrique Centrale En Contexte De Changements Globaux Dycofac	2	0.144
Lefe Ec2co Program	2	0.144
Legos	2	0.144
Lops	2	0.144
Magellium	2	0.144
Met Office Hadley Centre Climate Programme Beis	2	0.144
Meteo France	2	0.144
Mincyt	2	0.144
Mincyt Ecos Sud	2	0.144
Ministry Of Earth Science Moes Government Of India	2	0.144
Myocean Project	2	0.144
Myocean2 Eu Fp7 Project	2	0.144
Nansen Tutu For Marine Environmental Research	2	0.144
Nasa Cnes Swot Mission	2	0.144
Nasa Measures Program	2	0.144
Nasa Npp Senior Fellowship	2	0.144
Nasa Ostst Mission	2	0.144
Nasa Physical Oceanography Po Program	2	0.144
Nasa S News	2	0.144
Nasa Servir Program	2	0.144
National Basic Research Program Of China	2	0.144
National Council For Scientific Research Of Lebanon Cnrs L	2	0.144
National Council Of Science And Technology Of Mexico Secretariat Of Energy Hydrocarbons Trust	2	0.144
National Research Foundation South Africa	2	0.144
Noaa Climate Data Record Cdr Program For Satellites	2	0.144
Normandy Region	2	0.144
Noveltis	2	0.144
Office Of Biological And Environmental Research Ber	2	0.144
Ohio Sea Grant Program	2	0.144
Portuguese Foundation For Science And Technology	2	0.144
Prace Research Infrastructure	2	0.144
Pre Swot Project Spanish National Research Program	2	0.144
Prefectura Naval Argentina	2	0.144
Programme National De Teledetection Spatiale	2	0.144
Research Project Climpact Spanish Ministry Of Economy	2	0.144
Reseau Thematique De Recherche Avancee Sciences Et Technologies Pour L Aeronautique Et L Espace Rtra Stae Toulouse France	2	0.144
Royal Society Of London	2	0.144
Rtra Stae Foundation	2	0.144
Scripps High Resolution Xbt Program	2	0.144
Shn	2	0.144
Sorbonne Universite Locean	2	0.144
Spanish Marine Science And Technology Program	2	0.144
Spanish Ministry Of Science Innovation And Universities	2	0.144
Swiss National Science Foundation Snsf	2	0.144
Swot Mission	2	0.144
Teralab Grant Tiamsea	2	0.144
Thales Group	2	0.144
The David Lucile Packard Foundation	2	0.144
Toeddies Cnes Tosca Research Grant	2	0.144
Tosca	2	0.144
United States Department Of Defense	2	0.144
University Of Buenos Aires	2	0.144
University Of Michigan Faculty Startup Funds	2	0.144
University Of The Balearic Islands	2	0.144
Us National Ocean Partnership Program	2	0.144
Vietnamese Government	2	0.144
63E Session Commission Permanente De Cooperation Franco Quebecoise Biennum	1	0.072
9Th European Development Fund Through The French Polynesia Service De La Perliculture	1	0.072
A4 Project Irish Marine Institute Under The Marine Research Programme Irish Government	1	0.072
Academic Fund Program At The National Research University Higher School Of Economics Hse In 2019 2020	1	0.072
Academy Of Finland	1	0.072
Accolade Lefe Insu Project	1	0.072
Ace Lab	1	0.072
