Publication Titles	Record Count	% of 94,965
JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING	74	0.078
INDIAN JOURNAL OF GEO MARINE SCIENCES	73	0.077
JOURNAL OF THE GEOLOGICAL SOCIETY	73	0.077
SPACE WEATHER THE INTERNATIONAL JOURNAL OF RESEARCH AND APPLICATIONS	71	0.075
ACTA GEOPHYSICA	70	0.074
AUSTRALIAN JOURNAL OF EARTH SCIENCES	70	0.074
JOURNAL OF THE METEOROLOGICAL SOCIETY OF JAPAN	70	0.074
ADVANCES IN METEOROLOGY	69	0.073
ASTRONOMY ASTROPHYSICS	69	0.073
JOURNAL OF AFRICAN EARTH SCIENCES	69	0.073
2014 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	68	0.072
CORAL REEFS	68	0.072
ENERGY	68	0.072
JOURNAL OF PETROLOGY	68	0.072
MOLECULAR ECOLOGY	68	0.072
APPLIED OCEAN RESEARCH	67	0.071
GEODESY AND GEODYNAMICS	67	0.071
PEERJ	67	0.071
2012 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	66	0.069
AIP CONFERENCE PROCEEDINGS	66	0.069
IEEE JOURNAL OF OCEANIC ENGINEERING	66	0.069
SEDIMENTARY GEOLOGY	66	0.069
COMPTES RENDUS GEOSCIENCE	65	0.068
TERRA NOVA	65	0.068
EARTH SYSTEM DYNAMICS	64	0.067
JOURNAL OF MAPS	64	0.067
NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH	64	0.067
SEDIMENTOLOGY	64	0.067
NEW ZEALAND JOURNAL OF GEOLOGY AND GEOPHYSICS	63	0.066
SOLID EARTH	63	0.066
SURVEY REVIEW	63	0.066
ANNUAL REVIEW OF MARINE SCIENCE	62	0.065
OCEANOLOGIA	62	0.065
ENVIRONMENTAL SCIENCE TECHNOLOGY	61	0.064
INTERNATIONAL JOURNAL OF EARTH SCIENCES	61	0.064
JOURNAL OF MOUNTAIN SCIENCE	61	0.064
MARINE TECHNOLOGY SOCIETY JOURNAL	61	0.064
GEOLOGICAL SOCIETY MEMOIRS	60	0.063
JOURNAL OF QUATERNARY SCIENCE	60	0.063
AGRICULTURAL AND FOREST METEOROLOGY	59	0.062
ELEMENTA SCIENCE OF THE ANTHROPOCENE	59	0.062
JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY	59	0.062
INTERNATIONAL JOURNAL OF DIGITAL EARTH	58	0.061
ARCTIC ANTARCTIC AND ALPINE RESEARCH	57	0.060
JOURNAL OF SEA RESEARCH	57	0.060
MARINE ENVIRONMENTAL RESEARCH	57	0.060
PHYSICAL OCEANOGRAPHY	57	0.060
COLD REGIONS SCIENCE AND TECHNOLOGY	56	0.059
COMMUNICATIONS EARTH ENVIRONMENT	56	0.059
JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM	56	0.059
WATER RESOURCES MANAGEMENT	56	0.059
CHAOS	55	0.058
GEOPHYSICAL AND ASTROPHYSICAL FLUID DYNAMICS	55	0.058
GEOTECTONICS	55	0.058
METEOROLOGY AND ATMOSPHERIC PHYSICS	55	0.058
ADVANCES IN SPACE RESEARCH SERIES	54	0.057
AQUATIC CONSERVATION MARINE AND FRESHWATER ECOSYSTEMS	54	0.057
PROCEEDINGS OF THE SOCIETY OF PHOTO OPTICAL INSTRUMENTATION ENGINEERS SPIE	54	0.057
REGIONAL ENVIRONMENTAL CHANGE	54	0.057
2013 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	53	0.056
GEOLOGICAL JOURNAL	53	0.056
GEOMATICS NATURAL HAZARDS RISK	53	0.056
JOURNAL OF ENVIRONMENTAL MANAGEMENT	53	0.056
JOURNAL OF HYDROLOGIC ENGINEERING	53	0.056
SEISMOLOGICAL RESEARCH LETTERS	53	0.056
AFRICAN JOURNAL OF MARINE SCIENCE	52	0.055
ECOSPHERE	52	0.055
JOURNAL OF COASTAL CONSERVATION	52	0.055
2015 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	51	0.054
CELESTIAL MECHANICS DYNAMICAL ASTRONOMY	51	0.054
LECTURE NOTES IN COMPUTER SCIENCE	51	0.054
LECTURE NOTES IN ELECTRICAL ENGINEERING	51	0.054
POLAR RESEARCH	51	0.054
ANNUAL REVIEW OF EARTH AND PLANETARY SCIENCES	50	0.053
PROCEEDINGS OF THE ROYAL SOCIETY B BIOLOGICAL SCIENCES	50	0.053
SCIENTIA MARINA	50	0.053
HYDROGEOLOGY JOURNAL	49	0.052
JOURNAL OF HYDROLOGY REGIONAL STUDIES	49	0.052
PHYSICS AND CHEMISTRY OF THE EARTH	49	0.052
REVISTA DE BIOLOGIA TROPICAL	49	0.052
SOUTH AFRICAN JOURNAL OF SCIENCE	49	0.052
CATENA	48	0.051
IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS	48	0.051
PROCEEDINGS OF THE ROYAL SOCIETY A MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES	48	0.051
ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH	47	0.049
JOURNAL OF APPLIED GEOPHYSICS	47	0.049
OCEAN SCIENCE JOURNAL	47	0.049
PHYSICAL REVIEW E	47	0.049
RENEWABLE SUSTAINABLE ENERGY REVIEWS	47	0.049
EUROPEAN JOURNAL OF REMOTE SENSING	46	0.048
FRONTIERS IN MICROBIOLOGY	46	0.048
MARINE POLICY	46	0.048
QUATERNARY RESEARCH	46	0.048
CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES	45	0.047
ECOLOGICAL APPLICATIONS	45	0.047
GLOBAL ECOLOGY AND BIOGEOGRAPHY	45	0.047
IGARSS 2007 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM VOLS 1 12	45	0.047
IZVESTIYA PHYSICS OF THE SOLID EARTH	45	0.047
JOURNAL OF FISH BIOLOGY	45	0.047
