Authors	Record Count	% of 94,965
Metzger EJ	69	0.073
Rius A	69	0.073
Rudnick DL	69	0.073
Schmidt M	69	0.073
Wang XY	69	0.073
Wouters B	69	0.073
Yan XH	69	0.073
Cornuelle BD	68	0.072
Hou YJ	68	0.072
Kim S	68	0.072
Kohl A	68	0.072
Lee CM	68	0.072
Liu W	68	0.072
Neumann GA	68	0.072
Schroter J	68	0.072
Thompson AF	68	0.072
Van Sebille E	68	0.072
Xu Q	68	0.072
Cipollini P	67	0.071
Danabasoglu G	67	0.071
Danilov S	67	0.071
Ezer T	67	0.071
Gao S	67	0.071
Haines K	67	0.071
Li XY	67	0.071
Liu Z	67	0.071
Morrow R	67	0.071
Sneeuw N	67	0.071
Storto A	67	0.071
Wallcraft AJ	67	0.071
Zhao Y	67	0.071
Karl DM	66	0.069
Li CY	66	0.069
Lin XP	66	0.069
Bertino L	65	0.068
Brasseur P	65	0.068
Coops NC	65	0.068
Jakobsson M	65	0.068
Kuhn M	65	0.068
Martin-neira M	65	0.068
Oey LY	65	0.068
Pinardi N	65	0.068
Vandemark D	65	0.068
Watts AB	65	0.068
Xue HJ	65	0.068
Zhang T	65	0.068
Brandt P	64	0.067
Fukumori I	64	0.067
Kim J	64	0.067
Luthcke SB	64	0.067
Mitrovica JX	64	0.067
Nakamura H	64	0.067
Singh A	64	0.067
Smith JA	64	0.067
Talley LD	64	0.067
Wang K	64	0.067
Wickert J	64	0.067
Yang JS	64	0.067
Anandakrishnan S	63	0.066
Basu S	63	0.066
Boutin J	63	0.066
Kopp RE	63	0.066
Kuo CY	63	0.066
Levy M	63	0.066
Li B	63	0.066
Lozier MS	63	0.066
Lv XQ	63	0.066
Maldonado A	63	0.066
Zhou H	63	0.066
Zhou L	63	0.066
Huss M	62	0.065
Klein P	62	0.065
Kumar S	62	0.065
Li ZH	62	0.065
Lyard F	62	0.065
Meinen CS	62	0.065
Miller AJ	62	0.065
Roughan M	62	0.065
Song CQ	62	0.065
Subrahmanyam B	62	0.065
Wang JB	62	0.065
Willis P	62	0.065
Xu K	62	0.065
Young DA	62	0.065
Zhang M	62	0.065
Zhao L	62	0.065
Chen S	61	0.064
Forootan E	61	0.064
Huang Y	61	0.064
Liu K	61	0.064
Murtugudde R	61	0.064
Myers PG	61	0.064
Straneo F	61	0.064
Tedesco M	61	0.064
Wang T	61	0.064
Woppelmann G	61	0.064
Yang X	61	0.064
Zhang XH	61	0.064
Bograd SJ	60	0.063
Durand F	60	0.063
Greatbatch RJ	60	0.063
Head JW	60	0.063
Kawamura H	60	0.063
Le Cozannet G	60	0.063
Liu B	60	0.063
Mcgillicuddy DJ	60	0.063
Molines JM	60	0.063
Qu TD	60	0.063
Velicogna I	60	0.063
Wulder MA	60	0.063
Zhang SQ	60	0.063
Bentley MJ	59	0.062
Donlon C	59	0.062
Gregory JM	59	0.062
Hinderer J	59	0.062
Holland PR	59	0.062
Mazloff MR	59	0.062
Mendez FJ	59	0.062
Nicholls KW	59	0.062
Pail R	59	0.062
Park JH	59	0.062
Seitz F	59	0.062
Sotin C	59	0.062
Wang GH	59	0.062
Wang XL	59	0.062
Wilson C	59	0.062
Zhu XH	59	0.062
Anderson JB	58	0.061
Boy JP	58	0.061
Dubayah R	58	0.061
Green JAM	58	0.061
Haigh ID	58	0.061
Hendricks S	58	0.061
Hernandez-pajares M	58	0.061
Huybrechts P	58	0.061
Kamachi M	58	0.061
Kang SC	58	0.061
Khan SA	58	0.061
Legresy B	58	0.061
Lu Y	58	0.061
Payne AJ	58	0.061
Pollard D	58	0.061
Schroeder DM	58	0.061
Tsujino H	58	0.061
Wessel P	58	0.061
Xu M	58	0.061
Yasuda I	58	0.061
Yuan YB	58	0.061
Zwally HJ	58	0.061
Chen P	57	0.060
Grevemeyer I	57	0.060
Gudmundsson GH	57	0.060
Guo XY	57	0.060
Hong Y	57	0.060
Kuhn G	57	0.060
Pascual D	57	0.060
Picot N	57	0.060
Roberts MJ	57	0.060
Shriver JF	57	0.060
Sun Y	57	0.060
Van As D	57	0.060
Van Dam T	57	0.060
Wang CZ	57	0.060
Wang MH	57	0.060
Yang DK	57	0.060
Yao TD	57	0.060
Zhang YH	57	0.060
Zhao X	57	0.060
Brown S	56	0.059
Cai SQ	56	0.059
Cai WJ	56	0.059
Dietrich R	56	0.059
Han SC	56	0.059
Hobday AJ	56	0.059
Hoernle K	56	0.059
Karstensen J	56	0.059
