Affiliations	Record Count	% of 94,965
LOUISIANA STATE UNIVERSITY	319	0.336
LOUISIANA STATE UNIVERSITY SYSTEM	319	0.336
UNIVERSITY OF LIEGE	317	0.334
VICTORIA UNIVERSITY WELLINGTON	316	0.333
OBSERVATOIRE DE PARIS	314	0.331
SMITHSONIAN INSTITUTION	312	0.329
METEOROLOGICAL RESEARCH INSTITUTE JAPAN	311	0.327
TONGJI UNIVERSITY	309	0.325
HADLEY CENTRE	308	0.324
BROWN UNIVERSITY	306	0.322
ECOLE NORMALE SUPERIEURE ENS	306	0.322
EGYPTIAN KNOWLEDGE BANK EKB	304	0.320
UNIVERSITY OF ZURICH	304	0.320
SHANGHAI ASTRONOMICAL OBSERVATORY CAS	303	0.319
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE	301	0.317
TOHOKU UNIVERSITY	300	0.316
DUKE UNIVERSITY	297	0.313
LOMONOSOV MOSCOW STATE UNIVERSITY	296	0.312
GEOLOGICAL SURVEY OF CANADA	295	0.311
SPANISH INSTITUTE OF OCEANOGRAPHY	293	0.309
UNIVERSITY OF TORONTO	293	0.309
MEMORIAL UNIVERSITY NEWFOUNDLAND	292	0.307
UNIVERSITY OF BONN	290	0.305
SEOUL NATIONAL UNIVERSITY SNU	289	0.304
EUROPEAN COMMISSION JOINT RESEARCH CENTRE	288	0.303
NAVAL POSTGRADUATE SCHOOL	287	0.302
UNIVERSITY OF SHEFFIELD	286	0.301
GEOLOGICAL SURVEY OF DENMARK GREENLAND	285	0.300
UNIVERSITY OF SYDNEY	285	0.300
CITY UNIVERSITY OF NEW YORK CUNY SYSTEM	284	0.299
UTAH SYSTEM OF HIGHER EDUCATION	283	0.298
AARHUS UNIVERSITY	281	0.296
UNIVERSITY OF OTAGO	281	0.296
BUREAU OF METEOROLOGY AUSTRALIA	280	0.295
KOREA INSTITUTE OF OCEAN SCIENCE TECHNOLOGY KIOST	279	0.294
UPPSALA UNIVERSITY	279	0.294
NANSEN ENVIRONM REMOTE SENSING CTR	278	0.293
UNIVERSITY OF CALIFORNIA DAVIS	275	0.290
SAPIENZA UNIVERSITY ROME	274	0.289
HELMHOLTZ ZENTRUM GEESTHACHT ZENTRUM FUR MATERIAL UND KUSTENFORSCHUNG	273	0.287
UNIVERSIDAD DE CHILE	273	0.287
UNITED STATES FOREST SERVICE	272	0.286
UNIVERSITY OF NEW HAMPSHIRE	272	0.286
UNIVERSITY SYSTEM OF NEW HAMPSHIRE	272	0.286
VRIJE UNIVERSITEIT AMSTERDAM	272	0.286
